ZIP,LAT,LON
02462,42.329,-71.256
02464,42.313,-71.219
02465,42.349,-71.226
02466,42.344,-71.249
02467,42.314,-71.153
02468,42.329,-71.230
02472,42.369,-71.178
02474,42.421,-71.156
02476,42.416,-71.176
02478,42.395,-71.180
02481,42.312,-71.276
02482,42.293,-71.299
02492,42.276,-71.245
02493,42.361,-71.303
02494,42.299,-71.233
02532,41.752,-70.598
02534,41.669,-70.619
02535,41.337,-70.761
02536,41.596,-70.567
02537,41.728,-70.436
02538,41.777,-70.642
02539,41.378,-70.522
02540,41.574,-70.632
02542,41.708,-70.546
02543,41.479,-70.767
02553,41.712,-70.623
02554,41.291,-70.093
02556,41.639,-70.625
02557,41.442,-70.576
02558,41.745,-70.654
02559,41.690,-70.616
02561,41.767,-70.541
02562,41.787,-70.527
02563,41.728,-70.477
02564,41.272,-69.984
02568,41.459,-70.613
02571,41.761,-70.696
02575,41.400,-70.657
02576,41.772,-70.763
02584,41.259,-70.007
02601,41.658,-70.298
02630,41.707,-70.313
02631,41.748,-70.066
02632,41.659,-70.347
02633,41.690,-69.972
02635,41.624,-70.439
02637,41.706,-70.271
02638,41.730,-70.197
02639,41.668,-70.137
02641,41.751,-70.153
02642,41.841,-69.977
02643,41.798,-69.937
02644,41.683,-70.511
02645,41.711,-70.058
02646,41.671,-70.071
02647,41.630,-70.310
02648,41.671,-70.415
02649,41.617,-70.490
02650,41.702,-69.961
02651,41.875,-70.003
02652,42.050,-70.095
02653,41.769,-69.974
02655,41.628,-70.392
02657,42.060,-70.200
02659,41.681,-70.024
02660,41.708,-70.159
02663,41.894,-70.012
02664,41.675,-70.196
02666,41.991,-70.046
02667,41.922,-70.023
02668,41.716,-70.363
02669,41.667,-69.990
02670,41.660,-70.171
02671,41.671,-70.113
02672,41.636,-70.314
02673,41.656,-70.247
02675,41.704,-70.232
02702,41.785,-71.059
02703,41.932,-71.295
02713,41.441,-70.902
02715,41.804,-71.153
02717,41.760,-70.973
02718,41.862,-71.012
02719,41.634,-70.871
02720,41.725,-71.121
02721,41.675,-71.148
02723,41.693,-71.130
02724,41.684,-71.178
02725,41.720,-71.188
02726,41.760,-71.145
02738,41.704,-70.752
02739,41.666,-70.815
02740,41.637,-70.938
02743,41.718,-70.901
02744,41.606,-70.914
02745,41.701,-70.951
02746,41.661,-70.940
02747,41.665,-71.016
02748,41.553,-70.971
02760,41.973,-71.334
02762,42.013,-71.337
02763,41.967,-71.309
02764,41.852,-71.154
02766,41.965,-71.182
02767,41.941,-71.048
02769,41.847,-71.245
02770,41.760,-70.838
02771,41.842,-71.322
02777,41.758,-71.214
02779,41.838,-71.078
02780,41.909,-71.118
02790,41.599,-71.082
02791,41.529,-71.078
02802,41.952,-71.456
02804,41.435,-71.770
02806,41.735,-71.320
02807,41.177,-71.577
02808,41.408,-71.750
02809,41.676,-71.273
02812,41.479,-71.652
02813,41.394,-71.670
02814,41.896,-71.700
02815,41.775,-71.648
02816,41.696,-71.623
02817,41.637,-71.678
02818,41.643,-71.486
02822,41.570,-71.627
02825,41.782,-71.727
02826,41.983,-71.653
02827,41.699,-71.739
02828,41.880,-71.564
02830,41.975,-71.651
02831,41.775,-71.620
02832,41.515,-71.730
02833,41.492,-71.770
02835,41.510,-71.378
02836,41.455,-71.620
02837,41.519,-71.167
02838,41.965,-71.476
02839,41.941,-71.642
02840,41.478,-71.322
02841,41.512,-71.332
02842,41.519,-71.282
02852,41.589,-71.460
02857,41.823,-71.634
02858,41.964,-71.651
02859,41.959,-71.757
02860,41.871,-71.389
02861,41.879,-71.353
02863,41.890,-71.393
02864,41.967,-71.429
02865,41.915,-71.450
02871,41.587,-71.261
02872,41.597,-71.321
02873,41.533,-71.781
02874,41.509,-71.482
02875,41.456,-71.639
02876,41.994,-71.585
02878,41.609,-71.178
02879,41.424,-71.534
02881,41.478,-71.525
02882,41.415,-71.465
02885,41.725,-71.259
02886,41.704,-71.456
02888,41.748,-71.406
02889,41.701,-71.377
02891,41.362,-71.790
02892,41.492,-71.595
02893,41.679,-71.519
02894,41.444,-71.703
02895,42.002,-71.500
02896,41.975,-71.544
02898,41.518,-71.669
02903,41.818,-71.409
02904,41.858,-71.436
02905,41.785,-71.396
02906,41.840,-71.390
02907,41.799,-71.425
02908,41.840,-71.437
02909,41.821,-71.453
02910,41.775,-71.436
02911,41.855,-71.473
02912,41.826,-71.402
02914,41.815,-71.365
02915,41.773,-71.355
02916,41.843,-71.352
02917,41.906,-71.523
02919,41.827,-71.520
02920,41.767,-71.466
02921,41.768,-71.516
03031,42.875,-71.601
03032,42.997,-71.363
03033,42.749,-71.676
03034,43.057,-71.341
03036,42.985,-71.255
03037,43.141,-71.248
03038,42.893,-71.277
03042,43.054,-71.084
03043,42.997,-71.818
03044,43.000,-71.119
03045,43.022,-71.563
03046,43.116,-71.595
03047,42.939,-71.879
03048,42.743,-71.762
03049,42.750,-71.585
03051,42.761,-71.409
03052,42.846,-71.468
03053,42.870,-71.388
03054,42.852,-71.520
03055,42.819,-71.673
03057,42.909,-71.694
03060,42.741,-71.458
03062,42.722,-71.501
03063,42.782,-71.518
03064,42.779,-71.475
03070,42.981,-71.678
03071,42.746,-71.874
03076,42.731,-71.337
03077,43.038,-71.205
03079,42.788,-71.222
03082,42.896,-71.768
03084,42.827,-71.875
03086,42.832,-71.760
03087,42.811,-71.303
03101,42.989,-71.466
03102,43.012,-71.491
03103,42.951,-71.447
03104,43.010,-71.440
03106,43.083,-71.447
03109,42.964,-71.400
03110,42.936,-71.537
03215,43.943,-71.448
03216,43.451,-71.798
03217,43.726,-71.643
03218,43.338,-71.277
03220,43.474,-71.482
03221,43.258,-71.960
03222,43.643,-71.789
03223,43.855,-71.685
03224,43.362,-71.558
03225,43.364,-71.242
03226,43.712,-71.504
03227,43.841,-71.481
03229,43.202,-71.697
03230,43.509,-71.890
03231,43.473,-71.762
03233,43.424,-71.931
03234,43.205,-71.349
03235,43.449,-71.674
03237,43.423,-71.387
03238,43.984,-71.911
03240,43.575,-71.952
03241,43.752,-71.817
03242,43.169,-71.831
03243,43.528,-71.769
03244,43.128,-71.917
03245,43.762,-71.583
03246,43.576,-71.482
03249,43.519,-71.376
03251,44.101,-71.494
03253,43.631,-71.499
03254,43.718,-71.369
03255,43.314,-72.025
03256,43.623,-71.633
03257,43.418,-71.991
03258,43.265,-71.409
03259,43.876,-71.395
03260,43.343,-71.924
03261,43.212,-71.223
03262,44.000,-71.714
03263,43.289,-71.309
03264,43.739,-71.703
03266,43.783,-71.885
03268,43.386,-71.773
03269,43.524,-71.602
03273,43.302,-71.927
03275,43.171,-71.417
03276,43.431,-71.576
03278,43.309,-71.836
03279,43.966,-71.859
03280,43.190,-72.094
03281,43.078,-71.704
03282,43.859,-71.924
03284,43.473,-72.014
03285,43.948,-71.636
03287,43.443,-71.923
03290,43.130,-71.132
03291,43.179,-71.143
03293,43.971,-71.680
03301,43.239,-71.556
03303,43.312,-71.665
03304,43.133,-71.537
03307,43.334,-71.447
03431,42.965,-72.295
03440,43.050,-71.982
03441,42.781,-72.447
03442,43.020,-71.904
03443,42.876,-72.456
03444,42.889,-72.070
03445,43.021,-72.214
03446,42.858,-72.296
03447,42.753,-72.153
03448,43.053,-72.274
03449,42.977,-71.998
03450,42.949,-72.069
03451,42.809,-72.505
03452,42.829,-72.060
03455,42.902,-72.173
03456,43.139,-72.209
03457,42.999,-72.122
03458,42.868,-71.940
03461,42.757,-72.013
03462,42.889,-72.389
03464,43.091,-72.127
03465,42.829,-72.189
03466,42.890,-72.503
03467,42.968,-72.431
03470,42.771,-72.354
03561,44.343,-71.795
03570,44.505,-71.155
03574,44.260,-71.609
03575,44.314,-71.403
03576,44.912,-71.385
03579,44.965,-71.026
03580,44.163,-71.693
03581,44.290,-71.152
03582,44.563,-71.442
03583,44.397,-71.465
03584,44.484,-71.546
03585,44.222,-71.877
03586,44.218,-71.800
03588,44.623,-71.212
03590,44.750,-71.479
03592,45.116,-71.261
03593,44.301,-71.300
